,code,open,high,low,close,volume,time_key
178,FHSI,20466.0,20466.0,20280.0,20280.0,21,20230401
179,FHSI,20280.0,20409.0,20180.0,20372.0,98,20230403
180,FHSI,20378.0,20459.0,20080.0,20230.0,142,20230404
181,FHSI,20261.0,20350.0,20221.0,20221.0,23,20230405
182,FHSI,20144.0,20280.0,19987.0,20246.0,189,20230406
183,FHSI,20254.0,20500.0,20222.0,20227.0,37,20230407
184,FHSI,20568.0,20704.0,20264.0,20470.0,105,20230411
185,FHSI,20506.0,20506.0,20221.0,20293.0,101,20230412
186,FHSI,20356.0,20363.0,19835.0,20301.0,209,20230413
187,FHSI,20301.0,20468.0,20268.0,20370.0,278,20230414
188,FHSI,20408.0,20408.0,20191.0,20197.0,28,20230415
189,FHSI,20266.0,20815.0,20266.0,20720.0,445,20230417
190,FHSI,20655.0,20688.0,20512.0,20594.0,128,20230418
191,FHSI,20675.0,20708.0,20263.0,20265.0,320,20230419
192,FHSI,20250.0,20428.0,20250.0,20334.0,631,20230420
193,FHSI,20300.0,20390.0,19916.0,19985.0,452,20230421
194,FHSI,19980.0,19980.0,19847.0,19973.0,94,20230422
195,FHSI,19950.0,20080.0,19666.0,19842.0,669,20230424
196,FHSI,19851.0,19862.0,19440.0,19476.0,1643,20230425
197,FHSI,19496.0,19807.0,19299.0,19638.0,425,20230426
198,FHSI,19628.0,19773.0,19547.0,19694.0,280,20230427
199,FHSI,19680.0,20066.0,19660.0,19737.0,753,20230428
200,FHSI,19788.0,19956.0,19737.0,19737.0,81,20230429
201,FHSI,19876.0,20188.0,19650.0,19777.0,1012,20230502
202,FHSI,19781.0,19792.0,19405.0,19529.0,1134,20230503
203,FHSI,19517.0,19874.0,19504.0,19856.0,933,20230504
204,FHSI,19837.0,20101.0,19767.0,19896.0,943,20230505
205,FHSI,19886.0,20060.0,19843.0,20060.0,89,20230506
206,FHSI,20012.0,20211.0,19953.0,20195.0,719,20230508
207,FHSI,20172.0,20200.0,19700.0,19719.0,817,20230509
208,FHSI,19726.0,19805.0,19566.0,19642.0,1260,20230510
209,FHSI,19640.0,19801.0,19473.0,19652.0,1522,20230511
210,FHSI,19651.0,19807.0,19490.0,19534.0,932,20230512
211,FHSI,19560.0,19565.0,19350.0,19359.0,133,20230513
212,FHSI,19412.0,19970.0,19397.0,19901.0,3234,20230515
213,FHSI,19885.0,20128.0,19790.0,19851.0,1026,20230516
214,FHSI,19851.0,19892.0,19399.0,19427.0,1862,20230517
215,FHSI,19395.0,19790.0,19394.0,19621.0,1382,20230518
216,FHSI,19598.0,19659.0,19253.0,19342.0,1733,20230519
217,FHSI,19352.0,19408.0,19335.0,19339.0,103,20230520
218,FHSI,19377.0,19729.0,19330.0,19630.0,4475,20230522
219,FHSI,19650.0,19750.0,19296.0,19372.0,8382,20230523
220,FHSI,19351.0,19370.0,18966.0,19008.0,29294,20230524
221,FHSI,19022.0,19025.0,18536.0,18624.0,59409,20230525
222,FHSI,18675.0,18707.0,18450.0,18624.0,6868,20230526
223,FHSI,18711.0,18805.0,18430.0,18450.0,91683,20230529
224,FHSI,18511.0,18610.0,18315.0,18498.0,114932,20230530
225,FHSI,18511.0,18542.0,17966.0,18200.0,143093,20230531
226,FHSI,18193.0,18397.0,17948.0,18150.0,137754,20230601
227,FHSI,18161.0,18946.0,18076.0,18887.0,143101,20230602
228,FHSI,18892.0,19147.0,18892.0,19099.0,19955,20230603
229,FHSI,19030.0,19052.0,18813.0,19021.0,99731,20230605
230,FHSI,19019.0,19313.0,18918.0,18989.0,128358,20230606
231,FHSI,18979.0,19382.0,18968.0,19217.0,112007,20230607
232,FHSI,19219.0,19278.0,19219.0,19246.0,2316,20230608
